"Dec_time","Dec_ZT_time","Condition","mean","SEM"
163,1123,"1 Male",0.119047619047619,0.0976041743860646
164,1124,"1 Male",0.333333333333333,0.162252819838331
165,1125,"1 Male",0.476190476190476,0.250986659829605
166,1126,"1 Male",0.523809523809524,0.30336497500236
167,1127,"1 Male",0.261904761904762,0.156394939965568
168,1128,"1 Male",0.166666666666667,0.127135266230395
169,1129,"1 Male",0.166666666666667,0.107320152702797
170,1130,"1 Male",0.142857142857143,0.0804417866244961
171,1131,"1 Male",0.261904761904762,0.144827679292815
172,1132,"1 Male",0.142857142857143,0.120834441845667
173,1133,"1 Male",0.0952380952380952,0.0747393753458591
174,1134,"1 Male",0.166666666666667,0.117645635481358
175,1135,"1 Male",0.19047619047619,0.133034342051348
176,1136,"1 Male",0.0714285714285714,0.0527177431674163
177,1137,"1 Male",0.166666666666667,0.117645635481358
178,1138,"1 Male",0.166666666666667,0.117645635481358
179,1139,"1 Male",0.0952380952380952,0.0747393753458591
180,1140,"1 Male",0.0476190476190476,0.0332585855128371
181,1141,"1 Male",0.333333333333333,0.16579329820991
182,1142,"1 Male",0.142857142857143,0.0644049739048166
183,1143,"1 Male",0.30952380952381,0.134121199709415
184,1144,"1 Male",0.285714285714286,0.128809947809633
185,1145,"1 Male",0.357142857142857,0.206799146135911
186,1146,"1 Male",0.142857142857143,0.0728659100643815
187,1147,"1 Male",0.285714285714286,0.141690942590597
188,1148,"1 Male",0.19047619047619,0.114246993053268
189,1149,"1 Male",0.19047619047619,0.128595085361785
190,1150,"1 Male",0.214285714285714,0.150630553442289
191,1151,"1 Male",0.357142857142857,0.206799146135911
192,1152,"1 Male",0.428571428571429,0.204884764481019
193,1153,"1 Male",0.428571428571429,0.218597730193145
194,1154,"1 Male",0.452380952380952,0.314575061259675
195,1155,"1 Male",0.357142857142857,0.169789883716836
196,1156,"1 Male",0.5,0.202338247868569
197,1157,"1 Male",0.380952380952381,0.180180516504244
198,1158,"1 Male",0.285714285714286,0.124219815121783
199,1159,"1 Male",0.30952380952381,0.161612429943695
200,1160,"1 Male",0.285714285714286,0.124219815121783
201,1161,"1 Male",0.404761904761905,0.173972923686377
202,1162,"1 Male",0.547619047619048,0.193393741671016
203,1163,"1 Male",0.404761904761905,0.148783389110387
204,1164,"1 Male",0.428571428571429,0.187107256944941
205,1165,"1 Male",0.404761904761905,0.163652857043483
206,1166,"1 Male",0.428571428571429,0.145161438996363
207,1167,"1 Male",0.452380952380952,0.180984470533231
208,1168,"1 Male",0.571428571428571,0.241325359873488
209,1169,"1 Male",0.357142857142857,0.209588470647534
210,1170,"1 Male",0.357142857142857,0.173176340180774
211,1171,"1 Male",0.238095238095238,0.121973340176174
212,1172,"1 Male",0.166666666666667,0.082896649104955
213,1173,"1 Male",0.357142857142857,0.155508340191949
214,1174,"1 Male",0.30952380952381,0.165166636153117
215,1175,"1 Male",0.30952380952381,0.194249786024618
216,1176,"1 Male",0.30952380952381,0.146536059620095
217,1177,"1 Male",0.119047619047619,0.0698628235491781
218,1178,"1 Male",0.142857142857143,0.0873631571154076
219,1179,"1 Male",0.261904761904762,0.160065041257184
220,1180,"1 Male",0.30952380952381,0.161612429943695
221,1181,"1 Male",0.166666666666667,0.144253723219871
222,1182,"1 Male",0.166666666666667,0.127135266230395
223,1183,"1 Male",0.214285714285714,0.172215576372501
224,1184,"1 Male",0.214285714285714,0.110619175362395
225,1185,"1 Male",0.833333333333333,0.333768589231474
226,1186,"1 Male",0.404761904761905,0.255166188494672
227,1187,"1 Male",0.333333333333333,0.151134565827935
228,1188,"1 Male",0.380952380952381,0.170237181515217
229,1189,"1 Male",0.523809523809524,0.216180805833441
230,1190,"1 Male",0.285714285714286,0.119453431441125
231,1191,"1 Male",0.547619047619048,0.190367274319105
232,1192,"1 Male",1.04761904761905,0.504281760547958
233,1193,"1 Male",1.07142857142857,0.438285193378724
234,1194,"1 Male",0.595238095238095,0.195950655719237
235,1195,"1 Male",0.523809523809524,0.171209047726279
236,1196,"1 Male",0.285714285714286,0.119453431441125
237,1197,"1 Male",0.69047619047619,0.224741677075581
238,1198,"1 Male",0.523809523809524,0.210739793202743
239,1199,"1 Male",0.523809523809524,0.177863482466189
240,1200,"1 Male",0.547619047619048,0.229128483024942
241,1201,"1 Male",0.357142857142857,0.182960010264261
242,1202,"1 Male",0.714285714285714,0.257941719474437
243,1203,"1 Male",0.619047619047619,0.198579101727042
244,1204,"1 Male",0.547619047619048,0.210641354991127
245,1205,"1 Male",0.714285714285714,0.257941719474437
246,1206,"1 Male",0.452380952380952,0.180984470533231
247,1207,"1 Male",0.523809523809524,0.193500954323622
248,1208,"1 Male",0.428571428571429,0.190185608780713
249,1209,"1 Male",0.333333333333333,0.134892165245713
250,1210,"1 Male",0.476190476190476,0.193500954323622
251,1211,"1 Male",0.523809523809524,0.19047619047619
252,1212,"1 Male",0.547619047619048,0.196373571295493
253,1213,"1 Male",0.642857142857143,0.220393030224855
254,1214,"1 Male",0.428571428571429,0.156704064813221
