"","Dec_time","Dec_ZT_time","Condition","binned_mean","binned_sem"
"4981",660,180,"4 Male",0.3566666667,0
"5011",690,210,"4 Male",0.3541666667,0
"5041",720,240,"4 Male",0.5916666667,0
"5071",750,270,"4 Male",0.4133333333,0
"5101",780,300,"4 Male",0.37,0
"5131",810,330,"4 Male",0.2716666667,0
"5161",840,360,"4 Male",0.3958333333,0
"5191",870,390,"4 Male",0.3425,0
"5221",900,420,"4 Male",0.3166666667,0
"5251",930,450,"4 Male",0.5308333333,0
"5281",960,480,"4 Male",0.6783333333,0
"5311",990,510,"4 Male",0.7483333333,0
"5341",1020,540,"4 Male",0.7958333333,0
"5371",1050,570,"4 Male",0.8283333333,0
"5401",1080,600,"4 Male",1.0383333333,0
"5431",1110,630,"4 Male",1.1091666667,0
"5461",1140,660,"4 Male",1.1033333333,0
"5491",1170,690,"4 Male",1.2758333333,0
"5521",1200,720,"4 Male",1.9191666667,0
"5551",1230,750,"4 Male",1.0883333333,0
"5581",1260,780,"4 Male",0.4991666667,0
"5611",1290,810,"4 Male",0.1216666667,0
"5641",1320,840,"4 Male",0.0816666667,0
"5671",1350,870,"4 Male",0.0533333333,0
"5701",1380,900,"4 Male",0.06,0
"5731",1410,930,"4 Male",0.1325,0
