"Dec_time","Dec_ZT_time","Condition","mean","SEM"
188,1148,"1 Male",0.0625,0.035308292679127
189,1149,"1 Male",0.25,0.138058986262913
190,1150,"1 Male",0.104166666666667,0.074374360557078
191,1151,"1 Male",0.125,0.0640326268785261
192,1152,"1 Male",0.104166666666667,0.074374360557078
193,1153,"1 Male",0.3125,0.271514419114776
194,1154,"1 Male",0.541666666666667,0.481905141092954
195,1155,"1 Male",0.166666666666667,0.112724690250017
196,1156,"1 Male",0.25,0.177402455466867
197,1157,"1 Male",0.166666666666667,0.0909628038183026
198,1158,"1 Male",0.25,0.124555948863003
199,1159,"1 Male",0.4375,0.21860747636667
200,1160,"1 Male",0.375,0.194391667947409
201,1161,"1 Male",0.1875,0.0971958339737047
202,1162,"1 Male",0.541666666666667,0.224710872810681
203,1163,"1 Male",0.395833333333333,0.170365645919865
204,1164,"1 Male",0.229166666666667,0.127160699041074
205,1165,"1 Male",0.333333333333333,0.276652567358419
206,1166,"1 Male",0.145833333333333,0.0841603466484695
207,1167,"1 Male",0.145833333333333,0.0941063950716454
208,1168,"1 Male",0.333333333333333,0.184346010362695
209,1169,"1 Male",0.104166666666667,0.074374360557078
210,1170,"1 Male",0.166666666666667,0.116590654062224
211,1171,"1 Male",0.479166666666667,0.302163568459235
212,1172,"1 Male",0.25,0.144337567297406
213,1173,"1 Male",0.0833333333333333,0.0501180639188034
214,1174,"1 Male",0.145833333333333,0.0941063950716454
215,1175,"1 Male",0.270833333333333,0.180473135398244
216,1176,"1 Male",0.166666666666667,0.130917836467906
217,1177,"1 Male",0.270833333333333,0.196916800602026
218,1178,"1 Male",0.354166666666667,0.207333594159604
219,1179,"1 Male",0.0833333333333333,0.0501180639188034
220,1180,"1 Male",0.1875,0.1139874090969
221,1181,"1 Male",0.208333333333333,0.122613145508696
222,1182,"1 Male",0.208333333333333,0.102962902727446
223,1183,"1 Male",0.541666666666667,0.401634882942477
224,1184,"1 Male",0.270833333333333,0.1388260791784
225,1185,"1 Male",0.166666666666667,0.104564841828275
226,1186,"1 Male",0.416666666666667,0.170609393093758
227,1187,"1 Male",0.416666666666667,0.254103439409272
228,1188,"1 Male",0.166666666666667,0.112724690250017
229,1189,"1 Male",0.229166666666667,0.133951084452515
230,1190,"1 Male",0.0833333333333333,0.0582953270311121
231,1191,"1 Male",0.208333333333333,0.170933848651042
232,1192,"1 Male",0.3125,0.163506159469291
233,1193,"1 Male",0.270833333333333,0.1388260791784
234,1194,"1 Male",0.125,0.0766369816104119
235,1195,"1 Male",0.25,0.131480926535194
236,1196,"1 Male",0.166666666666667,0.0806299078078161
237,1197,"1 Male",1.04166666666667,0.795019031248486
238,1198,"1 Male",0.0208333333333333,0.0208333333333333
239,1199,"1 Male",0.1875,0.0971958339737047
240,1200,"1 Male",0.25,0.124555948863003
241,1201,"1 Male",0.208333333333333,0.10718154766916
242,1202,"1 Male",0.375,0.213931867592538
243,1203,"1 Male",0.145833333333333,0.0892719932043952
244,1204,"1 Male",0.1875,0.0971958339737047
245,1205,"1 Male",0.1875,0.0971958339737047
246,1206,"1 Male",0.229166666666667,0.12362571964571
247,1207,"1 Male",0.4375,0.297606066079601
248,1208,"1 Male",0.520833333333333,0.230612780929706
249,1209,"1 Male",0.395833333333333,0.220290715666783
250,1210,"1 Male",0.25,0.131480926535194
251,1211,"1 Male",0.270833333333333,0.128891837569189
252,1212,"1 Male",0.333333333333333,0.171903541043132
253,1213,"1 Male",0.416666666666667,0.165331531676297
254,1214,"1 Male",0.395833333333333,0.167743639184911
255,1215,"1 Male",0.583333333333333,0.280629569152544
256,1216,"1 Male",0.395833333333333,0.209988988510132
257,1217,"1 Male",0.125,0.105794025760082
258,1218,"1 Male",0.25,0.109398743623421
259,1219,"1 Male",0.1875,0.0971958339737047
260,1220,"1 Male",0.208333333333333,0.118943089874282
261,1221,"1 Male",0.1875,0.117811944450973
262,1222,"1 Male",0.333333333333333,0.293748899701174
263,1223,"1 Male",0.229166666666667,0.0905048063715919
264,1224,"1 Male",0.270833333333333,0.132286169400498
265,1225,"1 Male",0.0208333333333333,0.0208333333333333
266,1226,"1 Male",0.1875,0.132006642052964
267,1227,"1 Male",0.1875,0.121516167969592
268,1228,"1 Male",0.229166666666667,0.104166666666667
269,1229,"1 Male",0.270833333333333,0.121819769112292
270,1230,"1 Male",0.375,0.244849425432758
271,1231,"1 Male",0.208333333333333,0.139522785110575
272,1232,"1 Male",0.520833333333333,0.400564299799959
273,1233,"1 Male",0.4375,0.208222488242575
274,1234,"1 Male",0.1875,0.0971958339737047
